CP1,CP2,Cz,FC1,FC2,FCz,Fp1,Fp2,Fz,O1,O2,Oz,Pz
-0.5528,0.32030000000000003,0.3349,-0.10304999999999986,0.8398500000000001,0.4534,-0.27504999999999996,0.427,0.8298500000000001,-0.54225,0.65075,0.04335,-0.16979999999999995
-0.6836,0.19904999999999995,0.17144999999999988,-0.29515,0.6841000000000002,0.2816000000000001,-0.37650000000000006,0.33715,0.6647000000000001,-0.5432,0.6727,0.051549999999999985,-0.21144999999999992
-0.8085500000000001,0.08339999999999992,0.011399999999999855,-0.48234999999999995,0.5336000000000001,0.1129,-0.46985,0.25955,0.5009499999999999,-0.5409999999999999,0.70325,0.06824999999999998,-0.25049999999999994
-0.9276999999999999,-0.027099999999999902,-0.14545000000000008,-0.6636,0.3873,-0.052650000000000086,-0.5556,0.19100000000000006,0.33815000000000006,-0.5364000000000001,0.7423000000000001,0.09369999999999995,-0.28795000000000015
-1.04095,-0.13230000000000008,-0.29874999999999985,-0.83725,0.2442000000000002,-0.21450000000000014,-0.63495,0.1275,0.17635,-0.5287499999999999,0.7892,0.12855,-0.32365
-1.1479,-0.2318,-0.44730000000000003,-1.0015,0.10385,-0.3717999999999999,-0.7088,0.0655,0.016249999999999987,-0.51735,0.8422999999999999,0.17275000000000001,-0.3570500000000001
-1.24795,-0.32530000000000014,-0.5894999999999999,-1.15435,-0.03380000000000005,-0.5229999999999999,-0.7776000000000001,0.0023000000000000242,-0.14080000000000004,-0.50165,0.899,0.22509999999999997,-0.38755000000000006
-1.3405500000000001,-0.41215,-0.72315,-1.29395,-0.16780000000000017,-0.66625,-0.8412499999999999,-0.06320000000000003,-0.29269999999999996,-0.4819,0.95575,0.283,-0.41490000000000005
-1.4252500000000001,-0.49165000000000014,-0.84595,-1.4187,-0.29680000000000006,-0.7995,-0.8988,-0.13019999999999998,-0.43709999999999993,-0.4589500000000001,1.009,0.343,-0.43894999999999995
-1.50135,-0.5635000000000001,-0.95615,-1.5272,-0.41899999999999993,-0.9208,-0.9487999999999999,-0.19620000000000004,-0.5711999999999999,-0.43444999999999995,1.05515,0.40149999999999997,-0.4599
-1.5686999999999998,-0.62755,-1.0528,-1.6186,-0.53305,-1.0289,-0.98925,-0.2575,-0.69275,-0.40989999999999993,1.09065,0.4551,-0.47809999999999997
