CP1,CP2,Cz,FC1,FC2,FCz,Fp1,Fp2,Fz,O1,O2,Oz,Pz
-0.6587000000000001,-0.2565,-1.08235,-1.6315499999999998,-1.0345499999999999,-1.74715,-1.01125,-0.854,-1.36045,0.14675,0.011750000000000038,-0.06884999999999997,-0.008249999999999993
-0.6196,-0.21925,-1.0199500000000001,-1.5825,-0.96675,-1.67595,-0.97885,-0.8752500000000001,-1.3166,0.15725,0.057499999999999996,-0.018199999999999994,0.0271
-0.5911,-0.19595,-0.9712500000000001,-1.53335,-0.90995,-1.6144500000000002,-0.9357,-0.8846499999999999,-1.27305,0.15764999999999996,0.08405000000000007,0.019950000000000023,0.05005
-0.57165,-0.18560000000000001,-0.935,-1.4824,-0.862,-1.5598999999999998,-0.8813,-0.8745,-1.22845,0.14659999999999995,0.09114999999999995,0.044800000000000006,0.06055000000000002
-0.5599,-0.18725,-0.9093500000000001,-1.42845,-0.8209,-1.5095,-0.81645,-0.83955,-1.18195,0.12274999999999997,0.07934999999999992,0.05585000000000001,0.05860000000000001
-0.55525,-0.20095,-0.89305,-1.3714499999999998,-0.7859499999999999,-1.4617,-0.7438499999999999,-0.7787,-1.13375,0.08525000000000005,0.04959999999999998,0.05275000000000002,0.04310000000000003
-0.5581,-0.2278,-0.8859,-1.31305,-0.7583,-1.4170500000000001,-0.6684,-0.69575,-1.0857999999999999,0.034650000000000014,0.0030000000000000027,0.035150000000000015,0.012300000000000033
-0.5687,-0.26935000000000003,-0.8876,-1.255,-0.7401,-1.3771499999999999,-0.59525,-0.5984499999999999,-1.0404,-0.025949999999999973,-0.058700000000000085,0.0043500000000000205,-0.035499999999999976
-0.5863499999999999,-0.32575000000000004,-0.8971,-1.1983000000000001,-0.7331,-1.3434499999999998,-0.529,-0.4955,-0.99925,-0.09090000000000004,-0.13250000000000006,-0.03639999999999999,-0.10064999999999996
-0.6086,-0.39580000000000004,-0.9117999999999999,-1.14215,-0.7377,-1.31575,-0.4717,-0.39385000000000003,-0.962,-0.15289999999999998,-0.21430000000000005,-0.08234999999999998,-0.18195
-0.63185,-0.47625,-0.9278,-1.08425,-0.7523,-1.2921,-0.4234,-0.2978,-0.92655,-0.20465,-0.2994,-0.12779999999999997,-0.27614999999999995
-0.6512,-0.56255,-0.9400999999999999,-1.02105,-0.77335,-1.2687,-0.38149999999999995,-0.20865,-0.8893,-0.23980000000000007,-0.3827999999999999,-0.16749999999999998,-0.37870000000000004
-0.6612,-0.6486,-0.94295,-0.94865,-0.7955,-1.2405,-0.34130000000000005,-0.12555,-0.84535,-0.25315,-0.45965000000000006,-0.19644999999999996,-0.48335
-0.65645,-0.7282000000000001,-0.93075,-0.8631,-0.8120499999999999,-1.202,-0.29619999999999996,-0.04530000000000001,-0.7889999999999999,-0.24175000000000002,-0.526,-0.21104999999999996,-0.583
-0.63245,-0.7950999999999999,-0.89835,-0.76065,-0.81585,-1.1477499999999998,-0.239,0.03655000000000001,-0.7150000000000001,-0.20465,-0.57965,-0.20939999999999998,-0.67045
-0.5868,-0.8449,-0.8428,-0.6392,-0.8008500000000001,-1.07385,-0.16345000000000004,0.12419999999999999,-0.6194500000000001,-0.14379999999999998,-0.62045,-0.19165000000000004,-0.7399
-0.5196999999999999,-0.8752500000000001,-0.7638,-0.4988,-0.76375,-0.97875,-0.06639999999999999,0.21989999999999998,-0.5013,-0.06465000000000004,-0.6505,-0.16040000000000004,-0.7883
-0.43424999999999997,-0.8863500000000001,-0.66395,-0.3421,-0.70415,-0.8632500000000001,0.05185000000000001,0.323,-0.3627,0.024450000000000027,-0.6734,-0.12000000000000005,-0.8155000000000001
-0.3352,-0.8801,-0.54735,-0.17334999999999998,-0.62395,-0.72985,0.18745,0.43110000000000004,-0.2079,0.11375000000000007,-0.69365,-0.07595000000000002,-0.8240000000000001
-0.22824999999999995,-0.8594999999999999,-0.4189,0.0021000000000000185,-0.52665,-0.5821,0.33465,0.54055,-0.0422,0.19474999999999998,-0.7153,-0.03300000000000003,-0.8176500000000001
-0.11944999999999995,-0.82845,-0.2839499999999999,0.1788,-0.41664999999999996,-0.4241,0.48605,0.6468999999999999,0.12815,0.26195,-0.741,0.005150000000000043,-0.8008
-0.014249999999999985,-0.79095,-0.14755000000000001,0.35129999999999995,-0.299,-0.2605,0.63405,0.7458,0.29710000000000003,0.31270000000000003,-0.7721,0.036599999999999966,-0.77745
0.08284999999999998,-0.75075,-0.014100000000000001,0.51495,-0.17850000000000002,-0.09550000000000003,0.77165,0.83385,0.45909999999999995,0.34645000000000004,-0.8086000000000001,0.06059999999999999,-0.7512
0.16900000000000004,-0.7101,0.11360000000000003,0.6666,-0.05940000000000001,0.06715000000000004,0.8937999999999999,0.9087000000000001,0.60985,0.364,-0.8497,0.07705000000000001,-0.72475
0.24364999999999992,-0.6694500000000001,0.23419999999999996,0.8049,0.055749999999999966,0.2252,0.9983,0.97055,0.7472500000000001,0.3673,-0.8935,0.08745000000000003,-0.69915
0.30829999999999996,-0.6274500000000001,0.3481,0.9302999999999999,0.16635,0.37765,1.0856999999999999,1.0215,0.8713500000000001,0.35964999999999997,-0.9373,0.09450000000000003,-0.6741
0.36515,-0.58185,0.45635000000000003,1.04405,0.2728,0.5243,1.15835,1.06475,0.98315,0.34455,-0.97815,0.10129999999999997,-0.6484
0.41585,-0.5307000000000001,0.55955,1.1467,0.37554999999999994,0.66535,1.21865,1.1032,1.0839,0.32475,-1.0135999999999998,0.11000000000000001,-0.6213000000000001
0.46135,-0.4727,0.65785,1.23835,0.4748,0.8008,1.2692999999999999,1.13905,1.1747,0.30205000000000004,-1.0419,0.12185000000000001,-0.59205
0.5025,-0.4068,0.7512500000000001,1.31925,0.5710999999999999,0.9308,1.31335,1.1731,1.25695,0.27765,-1.06185,0.13735,-0.55955
0.5407,-0.33255,0.8402499999999999,1.3904,0.66525,1.05565,1.35405,1.2055,1.3326,0.25205,-1.0725,0.15675,-0.5223
0.57755,-0.24955,0.9256500000000001,1.4533,0.7583000000000001,1.17525,1.3942999999999999,1.23535,1.4036499999999998,0.22585000000000002,-1.0735,0.17985,-0.4784999999999999
0.61475,-0.1583,1.00805,1.5092,0.8505,1.2885,1.43465,1.26095,1.4708,0.19935,-1.06465,0.2062,-0.42674999999999996
0.6529,-0.06009999999999999,1.087,1.5583,0.9407,1.3927,1.4730999999999999,1.2796,1.5332,0.17295,-1.0462500000000001,0.23495,-0.3660500000000001
0.69175,0.04244999999999999,1.16105,1.5993,1.0262,1.48365,1.5049000000000001,1.28845,1.58775,0.14695,-1.01965,0.26445,-0.29700000000000004
0.7295,0.14584999999999998,1.2278499999999999,1.6300500000000002,1.1032,1.5566,1.52455,1.2852000000000001,1.63,0.12125,-0.9870000000000001,0.29255,-0.22179999999999994
0.76395,0.24655,1.28485,1.64805,1.16815,1.6075,1.52735,1.2692999999999999,1.65545,0.09459999999999996,-0.95055,0.31620000000000004,-0.14365000000000006
0.7927,0.34155,1.33035,1.65175,1.2187000000000001,1.6344,1.5110000000000001,1.24145,1.66125,0.06525000000000003,-0.9123,0.33245,-0.06644999999999995
0.8142,0.42925,1.3634499999999998,1.6411499999999999,1.2539,1.6376499999999998,1.476,1.2046000000000001,1.64685,0.031649999999999956,-0.87335,0.33895,0.006500000000000006
0.82785,0.5094000000000001,1.3851,1.61795,1.27515,1.62025,1.4253,1.1627,1.6141,-0.007000000000000006,-0.8346,0.33480000000000004,0.07255
0.83395,0.5823,1.397,1.5852,1.2852000000000001,1.58725,1.3633,1.11955,1.56665,-0.05100000000000002,-0.79645,0.31999999999999995,0.12969999999999998
0.8323499999999999,0.6479,1.4008,1.5457999999999998,1.287,1.54375,1.2939500000000002,1.0773,1.5082499999999999,-0.10060000000000002,-0.7601500000000001,0.2954,0.1759
0.8223499999999999,0.70485,1.39695,1.50175,1.2821500000000001,1.49385,1.2205,1.0362,1.44175,-0.15565,-0.7274,0.26185,0.20914999999999997
0.8031,0.75085,1.3851499999999999,1.45415,1.2706,1.44055,1.1458,0.9951,1.36925,-0.2149,-0.70015,0.2205,0.22745
0.7747499999999999,0.7839499999999999,1.36525,1.4043,1.2517999999999998,1.38615,1.07295,0.95275,1.2927,-0.27555,-0.6790499999999999,0.17345,0.23025
0.73845,0.8031999999999999,1.3375,1.35385,1.22545,1.33255,1.0044,0.9077000000000001,1.21435,-0.33345,-0.66325,0.12395000000000002,0.21835
0.6961499999999999,0.8087,1.30255,1.3041,1.1923,1.2814,0.9418,0.8593999999999999,1.1367,-0.3847,-0.6506,0.07575,0.194
0.6496999999999999,0.8013,1.2612999999999999,1.2559,1.1534499999999999,1.23375,0.8857,0.80695,1.062,-0.42605000000000004,-0.63825,0.0324,0.16044999999999998
0.59995,0.78215,1.21435,1.2097,1.1097000000000001,1.18955,0.8355,0.7499,0.9919,-0.4554,-0.6228,-0.004,0.1212
0.5472999999999999,0.752,1.1622,1.1652,1.06075,1.1473499999999999,0.79035,0.6886000000000001,0.9269000000000001,-0.47104999999999997,-0.60145,-0.03169999999999999,0.07919999999999999
0.4918,0.7116,1.1045500000000001,1.1214,1.0053,1.1045,0.7492,0.62435,0.8665,-0.47169999999999995,-0.5719000000000001,-0.05005000000000001,0.036750000000000005
0.43365,0.66195,1.04125,1.07695,0.9418,1.0582,0.71075,0.55905,0.8093,-0.45600000000000007,-0.533,-0.058849999999999986,-0.0046499999999999875
0.37324999999999997,0.6043000000000001,0.9718,1.03025,0.8694999999999999,1.0062,0.6733,0.49424999999999997,0.7531500000000001,-0.4238,-0.48455000000000004,-0.05895,-0.044300000000000006
0.3111,0.5395,0.8959,0.9794499999999999,0.7879,0.9470999999999999,0.6339,0.43005,0.69565,-0.37654999999999994,-0.4274,-0.051700000000000024,-0.08250000000000002
0.2469,0.46795,0.8126,0.9222,0.6969,0.87975,0.58835,0.36440000000000006,0.63355,-0.3175,-0.36285,-0.03915000000000002,-0.1205
0.18010000000000004,0.38925,0.7204999999999999,0.85545,0.596,0.80315,0.5313,0.29365,0.5631499999999999,-0.25100000000000006,-0.29255,-0.023800000000000043,-0.15995000000000004
0.11075000000000002,0.3035,0.61915,0.7769999999999999,0.48565,0.7168,0.45880000000000004,0.21415,0.4815,-0.18110000000000004,-0.21815,-0.007250000000000034,-0.20205
0.040200000000000014,0.21165000000000003,0.50925,0.6861499999999999,0.3677,0.62145,0.3693,0.12449999999999997,0.38774999999999993,-0.10980000000000001,-0.14079999999999998,0.010200000000000015,-0.24689999999999995
-0.03015000000000001,0.11484999999999995,0.39245,0.58365,0.24415000000000003,0.5182,0.26395,0.025250000000000022,0.2823,-0.03820000000000001,-0.06200000000000001,0.028599999999999987,-0.29435
-0.10040000000000004,0.012750000000000039,0.2693499999999999,0.46995,0.11549999999999994,0.40700000000000003,0.14485000000000003,-0.0822,0.16549999999999998,0.031350000000000044,0.015349999999999989,0.04655000000000001,-0.3454
-0.17260000000000003,-0.09675,0.13865000000000005,0.3441,-0.01984999999999998,0.28635,0.013600000000000056,-0.19714999999999996,0.03665000000000007,0.09440000000000001,0.08655,0.06044999999999999,-0.40275
-0.2496,-0.21595,-0.0013999999999999568,0.20544999999999997,-0.1643,0.1542,-0.12870000000000004,-0.31925,-0.10519999999999996,0.14575,0.1469,0.06595,-0.4693
-0.33285,-0.3457,-0.15134999999999998,0.05450000000000005,-0.31899999999999995,0.010500000000000065,-0.28,-0.4473,-0.2592,0.18245,0.1931,0.06025,-0.5460499999999999
-0.42175000000000007,-0.48424999999999996,-0.30910000000000004,-0.10579999999999995,-0.48214999999999997,-0.14175000000000004,-0.43605,-0.57805,-0.4214,0.2056,0.2246,0.04365,-0.63125
