CP1,CP2,Cz,FC1,FC2,FCz,Fp1,Fp2,Fz,O1,O2,Oz,Pz
0.11484999999999998,-0.21910000000000002,0.6545,0.977,1.0742,1.47235,1.2707000000000002,0.66075,1.38645,-1.268,-1.546,-1.2424,-0.757
-0.018699999999999994,-0.3044,0.5489999999999999,0.8918,0.9790000000000001,1.38055,1.0715,0.79205,1.3271,-1.2413,-1.5429499999999998,-1.236,-0.8190999999999999
-0.1624,-0.4092,0.42974999999999997,0.7996000000000001,0.8628,1.2743000000000002,0.86525,0.9208000000000001,1.2555,-1.2323,-1.55085,-1.2479500000000001,-0.8955500000000001
-0.313,-0.52925,0.3004,0.7021,0.7295499999999999,1.15505,0.6565,1.03865,1.17305,-1.2381,-1.5675,-1.27355,-0.98245
-0.46555,-0.65795,0.1664,0.6029,0.58595,1.0264,0.45265000000000005,1.1393,1.083,-1.2537,-1.58975,-1.3067,-1.07435
-0.6144000000000001,-0.78735,0.0345,0.5064500000000001,0.43984999999999996,0.8934500000000001,0.2637,1.2198499999999999,0.9894000000000001,-1.2721500000000001,-1.61375,-1.3401999999999998,-1.1644999999999999
-0.7538,-0.9097999999999999,-0.08895,0.41714999999999997,0.29845,0.7612,0.09950000000000003,1.27945,0.8960999999999999,-1.2862,-1.6355,-1.3675,-1.2465000000000002
-0.8793,-1.01955,-0.19975,0.33735,0.16675,0.63345,-0.03279999999999994,1.31825,0.80555,-1.2901,-1.6521,-1.3838,-1.31555
-0.98855,-1.1136,-0.2965,0.26665,0.04654999999999998,0.51185,-0.12965000000000004,1.3365,0.7183999999999999,-1.2808,-1.66235,-1.3873,-1.36945
-1.08105,-1.1921,-0.38029999999999997,0.20294999999999996,-0.0635,0.3959999999999999,-0.18989999999999996,1.33405,0.6339,-1.2586499999999998,-1.6672500000000001,-1.3792,-1.4085999999999999
-1.15735,-1.25665,-0.45335,0.14384999999999998,-0.16605,0.28485,-0.21415,1.3103500000000001,0.5516,-1.2262499999999998,-1.66885,-1.3627,-1.43525
-1.21885,-1.3096999999999999,-0.5175500000000001,0.08810000000000007,-0.26360000000000006,0.1779,-0.20495000000000002,1.2645,0.47195000000000004,-1.1887,-1.6703999999999999,-1.3426,-1.45255
-1.26755,-1.35435,-0.57495,0.03500000000000003,-0.3579,0.07469999999999999,-0.16804999999999992,1.1952999999999998,0.39579999999999993,-1.1523,-1.6760000000000002,-1.3242,-1.46425
-1.3058,-1.394,-0.6274500000000001,-0.016100000000000003,-0.44984999999999997,-0.02504999999999996,-0.11154999999999998,1.1023500000000002,0.32395,-1.12425,-1.6901000000000002,-1.31335,-1.4742
-1.3361999999999998,-1.4315499999999999,-0.6772499999999999,-0.06619999999999993,-0.5397,-0.12155000000000005,-0.042800000000000005,0.9872999999999998,0.25719999999999993,-1.11115,-1.7162000000000002,-1.3148499999999999,-1.48625
-1.36025,-1.4691,-0.7257,-0.1159,-0.62675,-0.21425000000000005,0.034650000000000014,0.85485,0.19680000000000003,-1.1181,-1.7557,-1.3318,-1.5026
-1.3790499999999999,-1.50785,-0.77365,-0.16490000000000005,-0.7095499999999999,-0.30184999999999995,0.12175000000000002,0.71175,0.14469999999999994,-1.147,-1.8077,-1.3649499999999999,-1.5244
-1.39315,-1.54875,-0.8216000000000001,-0.21229999999999993,-0.78725,-0.383,0.2211,0.56495,0.10239999999999994,-1.1976,-1.8695,-1.4132,-1.55165
-1.4037,-1.5928499999999999,-0.8707499999999999,-0.2575,-0.85975,-0.45725000000000005,0.33275,0.42090000000000005,0.06994999999999996,-1.2672,-1.93765,-1.47405,-1.58395
-1.4118,-1.6412,-0.9228000000000001,-0.3,-0.9278000000000001,-0.52515,0.4514,0.28525,0.046599999999999975,-1.35155,-2.00795,-1.5437,-1.6203500000000002
-1.41795,-1.6929500000000002,-0.9784,-0.33945,-0.99085,-0.58695,0.56755,0.16319999999999998,0.03165000000000001,-1.4444500000000002,-2.0759,-1.6172499999999999,-1.65905
-1.4206,-1.74455,-1.0366,-0.37445,-1.04595,-0.641,0.67155,0.05975,0.02554999999999996,-1.5382,-2.13645,-1.68865,-1.69645
-1.4161,-1.7898,-1.094,-0.40219999999999995,-1.0884,-0.68365,0.7571,-0.019799999999999998,0.029799999999999993,-1.6245500000000002,-2.1844,-1.7515,-1.72735
-1.39835,-1.8211499999999998,-1.1454,-0.4184,-1.1127,-0.70985,0.8230999999999999,-0.07064999999999999,0.0469,-1.6958000000000002,-2.21475,-1.7993999999999999,-1.74545
-1.3613499999999998,-1.8308,-1.18495,-0.41845,-1.1135,-0.71445,0.8723000000000001,-0.08950000000000002,0.07880000000000001,-1.7459,-2.22355,-1.8277,-1.7449
-1.3005,-1.81325,-1.20735,-0.39885000000000004,-1.0867499999999999,-0.6939500000000001,0.9088,-0.07585,0.1262,-1.7713999999999999,-2.20885,-1.83365,-1.7218
-1.2147999999999999,-1.7666,-1.2102,-0.3593,-1.0323499999999999,-0.64905,0.93635,-0.03275,0.18665,-1.7713999999999999,-2.17105,-1.8172,-1.6755
-1.1047,-1.6903000000000001,-1.1905000000000001,-0.29969999999999997,-0.9510000000000001,-0.5801499999999999,0.95915,0.035999999999999976,0.25835,-1.74735,-2.1113,-1.7797,-1.60705
-0.97385,-1.5872000000000002,-1.1482,-0.22335,-0.84755,-0.49175,0.98185,0.12555000000000002,0.33735,-1.7034,-2.0336,-1.72515,-1.5202
-0.82785,-1.4624,-1.08545,-0.13565,-0.7290000000000001,-0.3903,1.0086,0.23040000000000002,0.4189,-1.6461,-1.9436499999999999,-1.65985,-1.4205
-0.6733,-1.32225,-1.0056,-0.04325000000000001,-0.60305,-0.2831,1.0423499999999999,0.345,0.49775,-1.5830000000000002,-1.84795,-1.5908,-1.3138
-0.51575,-1.1722,-0.9121,0.04765,-0.47545,-0.176,1.08405,0.46435,0.5703,-1.5204,-1.7519,-1.5242,-1.2048
-0.35850000000000004,-1.01615,-0.8070999999999999,0.13325000000000004,-0.34895,-0.07240000000000002,1.1326,0.5845,0.6354,-1.4622,-1.6597,-1.4643,-1.0959
-0.20255,-0.8560000000000001,-0.69175,0.21239999999999998,-0.2236,0.026849999999999985,1.1856,0.7018,0.69425,-1.4101,-1.5739999999999998,-1.41345,-0.9876
-0.047400000000000005,-0.6927000000000001,-0.56675,0.28595000000000004,-0.09784999999999999,0.12279999999999999,1.241,0.81125,0.7494000000000001,-1.36385,-1.4961000000000002,-1.3724,-0.8789
0.10790000000000001,-0.52745,-0.4326,0.35550000000000004,0.028849999999999987,0.2169,1.2974,0.90635,0.80305,-1.3223,-1.4260000000000002,-1.34035,-0.7684
0.2638,-0.36205,-0.29105000000000003,0.42245,0.15545000000000003,0.30979999999999996,1.35345,0.9793499999999999,0.85585,-1.2838999999999998,-1.3627,-1.31515,-0.6551
0.41935,-0.19939999999999997,-0.14465,0.48695,0.27895000000000003,0.4009,1.4059,1.0231,0.90715,-1.2471999999999999,-1.3051,-1.2939999999999998,-0.5387500000000001
0.5723,-0.04250000000000001,0.0030999999999999917,0.54815,0.39575,0.48815000000000003,1.45035,1.0322,0.95475,-1.2112999999999998,-1.2521,-1.2739,-0.41974999999999996
0.7202999999999999,0.10644999999999999,0.14845,0.6052,0.5021,0.56935,1.4829,1.0047,0.9963,-1.1750500000000001,-1.20225,-1.2515,-0.299
0.86155,0.24635,0.28855000000000003,0.6585500000000001,0.5964,0.64305,1.5033,0.9420000000000001,1.03045,-1.1363999999999999,-1.15325,-1.22305,-0.17664999999999997
0.9961,0.3779,0.4226,0.7107000000000001,0.6791499999999999,0.7095,1.5154,0.8489,1.0579,-1.09185,-1.10205,-1.1843,-0.052049999999999985
1.1246,0.50285,0.5503,0.7648999999999999,0.7526999999999999,0.77025,1.52455,0.73205,1.08005,-1.0372,-1.04555,-1.13175,0.07579999999999998
1.24735,0.6218,0.6704,0.8227,0.8185,0.82565,1.5341,0.5974499999999999,1.0970499999999999,-0.96985,-0.98175,-1.0638,0.20659999999999998
1.36285,0.73325,0.7792,0.8818999999999999,0.8758,0.87405,1.5428,0.44965,1.1061,-0.88945,-0.9109,-0.9817,0.33775
1.468,0.8344,0.87165,0.93765,0.9222,0.91195,1.5446,0.29300000000000004,1.1029,-0.7978500000000001,-0.8349,-0.88895,0.46495000000000003
1.5588,0.92205,0.9425,0.98445,0.9551,0.9352499999999999,1.5307,0.13319999999999999,1.0832,-0.69795,-0.7567,-0.7905500000000001,0.58365
