mean_train_accuracy,mean_train_precision,mean_train_recall,mean_train_auc,mean_test_accuracy,mean_test_precision,mean_test_recall,mean_test_auc,std_train_accuracy,std_train_precision,std_train_recall,std_train_auc,std_test_accuracy,std_test_precision,std_test_recall,std_test_auc,CV folds,random seed,test size,classifier name,dim reducer,dim reduced to,classifier params,raw,stats features,bands features,channels
1.0,1.0,1.0,1.0,0.75,0.875,0.625,0.625,0.0,0.0,0.0,0.0,0.1767766952966369,0.21650635094610965,0.21650635094610965,0.21650635094610965,5.0,24.0,0.2,LinearSVC,None,-1,None,no,no,no,all
1.0,1.0,1.0,1.0,0.3125,0.1875,0.25,0.25,0.0,0.0,0.0,0.0,0.2072890493972125,0.2420614591379636,0.3535533905932738,0.3535533905932738,5.0,24.0,0.2,SVC,None,-1,None,no,no,no,all
1.0,1.0,1.0,1.0,0.4375,0.29166666666666663,0.375,0.625,0.0,0.0,0.0,0.0,0.34798527267687634,0.3886407938787006,0.4841229182759271,0.414578098794425,5.0,24.0,0.2,RandomForestClassifier,None,-1,None,no,no,no,all
1.0,1.0,1.0,1.0,0.5625,0.5625,0.625,0.5,0.0,0.0,0.0,0.0,0.10825317547305482,0.2997394702070449,0.33071891388307384,0.33071891388307384,5.0,24.0,0.2,AdaBoostClassifier,None,-1,None,no,no,no,all
1.0,1.0,1.0,1.0,0.5625,0.5,0.5,0.625,0.0,0.0,0.0,0.0,0.3903123748998999,0.4330127018922193,0.4330127018922193,0.414578098794425,5.0,24.0,0.2,ExtraTreesClassifier,None,-1,None,no,no,no,all
1.0,1.0,1.0,1.0,0.5,0.4583333333333333,0.5,0.5,0.0,0.0,0.0,0.0,0.21650635094610965,0.26020824993326663,0.25,0.39528470752104733,5.0,24.0,0.2,GradientBoostingClassifier,None,-1,None,no,no,no,all
1.0,1.0,1.0,1.0,0.5625,0.4791666666666666,0.5,0.65625,0.0,0.0,0.0,0.0,0.2072890493972125,0.4034357652299392,0.4330127018922193,0.3890593624371479,5.0,24.0,0.2,XGBClassifier,None,-1,None,no,no,no,all
0.7,0.7523809523809525,0.5857142857142857,0.7641156462585035,0.4375,0.3958333333333333,0.625,0.4375,0.10251928638862373,0.16399214626402442,0.2355097717881569,0.1382597625885381,0.10825317547305482,0.16535945694153692,0.33071891388307384,0.10825317547305482,5.0,24.0,0.2,KNeighborsClassifier,None,-1,None,no,no,no,all
0.8761904761904761,0.8630952380952381,0.9047619047619048,0.972562358276644,0.375,0.3125,0.5,0.1875,0.056644653587477715,0.08074202360863414,0.07824607964359515,0.0346011239187528,0.2795084971874737,0.26922599965250177,0.4330127018922193,0.3247595264191645,5.0,24.0,0.2,GaussianNB,None,-1,None,no,no,no,all
1.0,1.0,1.0,1.0,0.5,0.4375,0.625,0.5625,0.0,0.0,0.0,7.021666937153402e-17,0.1767766952966369,0.2030582155168534,0.33071891388307384,0.44633927678392815,5.0,24.0,0.2,Stacking,None,-1,None,no,no,no,all
1.0,1.0,1.0,1.0,0.5,0.3125,0.375,0.6875,0.0,0.0,0.0,0.0,0.21650635094610965,0.34798527267687634,0.414578098794425,0.2072890493972125,5.0,24.0,0.2,LinearSVC,None,-1,None,no,no,no,Cz
