CP1,CP2,Cz,FC1,FC2,FCz,Fp1,Fp2,Fz,O1,O2,Oz,Pz
-0.8102,-0.18525,-0.92315,-2.3023499999999997,-2.4115,-2.3502,-6.95185,-10.23695,-3.29425,1.1096,1.28095,2.31535,0.27685000000000004
-0.8162,-0.1884,-0.97055,-2.3743,-2.45275,-2.4099,-7.0169,-10.37185,-3.37475,1.2347,1.32085,2.40485,0.30815
-0.81375,-0.18525,-1.0124,-2.4348,-2.4888,-2.4644,-7.0812,-10.48695,-3.44715,1.3638,1.3653,2.50345,0.34390000000000004
-0.8029499999999999,-0.1756,-1.04695,-2.4828,-2.5183999999999997,-2.5121,-7.13745,-10.5774,-3.5094000000000003,1.4962499999999999,1.41605,2.61165,0.3848
-0.7847500000000001,-0.15985000000000002,-1.07335,-2.5181,-2.54085,-2.55145,-7.1794,-10.6404,-3.5601000000000003,1.6316000000000002,1.4742,2.72925,0.4312
-0.7606499999999999,-0.13949999999999999,-1.09215,-2.54175,-2.55645,-2.5825500000000003,-7.203250000000001,-10.674949999999999,-3.5991,1.7688000000000001,1.53955,2.85445,0.48200000000000004
-0.7338,-0.11735000000000001,-1.10575,-2.5559000000000003,-2.5673,-2.6073,-7.2087,-10.68215,-3.62825,1.90535,1.61025,2.9837,0.5342
-0.70785,-0.09709999999999999,-1.11735,-2.5639,-2.57715,-2.6292,-7.19835,-10.6649,-3.6510499999999997,2.0375,1.6834500000000001,3.11225,0.5841000000000001
-0.68615,-0.08199999999999999,-1.1301,-2.5688,-2.58975,-2.65175,-7.1761,-10.6271,-3.67095,2.1616,1.75645,3.2359,0.6285000000000001
-0.67075,-0.07375,-1.14605,-2.5730500000000003,-2.6075,-2.67735,-7.1457,-10.57315,-3.6904,2.2748999999999997,1.82725,3.35145,0.6656
-0.6638,-0.07385,-1.1678,-2.58035,-2.6329000000000002,-2.7089499999999997,-7.1113,-10.5062,-3.71265,2.3752,1.8941499999999998,3.4566999999999997,0.69385
-0.6654,-0.08165,-1.1952500000000001,-2.59145,-2.6647,-2.7459,-7.07705,-10.43345,-3.7375,2.4603,1.9563,3.54975,0.7129500000000001
-0.67655,-0.0975,-1.22945,-2.6090999999999998,-2.7034000000000002,-2.78925,-7.047149999999999,-10.3611,-3.76685,2.5284500000000003,2.0126999999999997,3.6288,0.72185
-0.69825,-0.12190000000000001,-1.27135,-2.6359,-2.75,-2.8407,-7.0251,-10.2966,-3.80285,2.5786000000000002,2.0627500000000003,3.6927000000000003,0.71935
-0.73155,-0.15525,-1.32175,-2.6743,-2.80555,-2.90185,-7.01385,-10.24825,-3.8477,2.6101,2.106,3.7404,0.70425
-0.77665,-0.1975,-1.38075,-2.7254500000000004,-2.871,-2.974,-7.015350000000001,-10.2229,-3.9028,2.6233,2.1426499999999997,3.7719500000000004,0.6760999999999999
-0.8327,-0.2475,-1.4475,-2.78885,-2.9452,-3.0568999999999997,-7.0295,-10.2233,-3.9678,2.6196,2.1737,3.78895,0.6355999999999999
-0.8978499999999999,-0.30269999999999997,-1.52025,-2.8624,-3.0252999999999997,-3.1486,-7.0538,-10.2468,-4.04065,2.6011,2.201,3.79415,0.58465
-0.9700500000000001,-0.36005,-1.5965500000000001,-2.94285,-3.10715,-3.24605,-7.0836,-10.286100000000001,-4.11785,2.5702,2.22635,3.7906500000000003,0.5262
-1.0469,-0.4163,-1.67385,-3.027,-3.18635,-3.34575,-7.11285,-10.331,-4.19585,2.5291,2.2513,3.7807,0.46349999999999997
-1.12645,-0.4689,-1.74975,-3.1125,-3.25945,-3.44475,-7.1354500000000005,-10.37045,-4.2712,2.4792,2.2763,3.7657,0.39949999999999997
-1.2077499999999999,-0.5168,-1.82295,-3.1976500000000003,-3.32455,-3.5408,-7.146750000000001,-10.39435,-4.3415,2.42125,2.30085,3.7459,0.3358
-1.2908,-0.5604,-1.8933499999999999,-3.2819000000000003,-3.3812500000000005,-3.63255,-7.1429,-10.394200000000001,-4.40515,2.3550500000000003,2.3238,3.7208,0.2728
